file,error_percent,iou,auc
bottle\test\broken_large\000.png,32.8992486000061,0.01123442190484854,0.21951121388686112
bottle\test\broken_large\001.png,33.46920311450958,0.06299176047348265,0.3245678918971452
bottle\test\broken_large\002.png,33.02367627620697,0.0196199871706961,0.26275512184420624
bottle\test\broken_large\003.png,34.421515464782715,0.05912881960884292,0.1737976578959103
bottle\test\broken_large\004.png,32.80119597911835,0.006389452332657201,0.22902798431525223
bottle\test\broken_large\005.png,32.80497491359711,0.0042460177880508515,0.23453432635910765
bottle\test\broken_large\006.png,33.19134712219238,0.01160520369435974,0.2667767669189609
bottle\test\broken_large\007.png,33.24199616909027,0.052754931533603874,0.2846552781116719
bottle\test\broken_large\008.png,33.24773907661438,0.0488875609083387,0.301891360019073
bottle\test\broken_large\009.png,33.14375281333923,0.0025207312476441764,0.2689223130031355
bottle\test\broken_large\010.png,33.40395987033844,0.0143598655477557,0.2794783689078452
bottle\test\broken_large\011.png,33.37336480617523,0.034479451397880403,0.34432466681932855
bottle\test\broken_large\012.png,32.618218660354614,0.004916079054523786,0.2850422588263927
bottle\test\broken_large\013.png,32.48538076877594,0.02426005681297535,0.25429627462650317
bottle\test\broken_large\014.png,32.76927173137665,0.005942788074133763,0.24092331051024013
bottle\test\broken_large\015.png,33.089232444763184,0.004235792446170138,0.239825572361684
bottle\test\broken_large\016.png,32.86052942276001,0.0306312366857271,0.26610825875069305
bottle\test\broken_large\017.png,32.95389413833618,0.010815105833535657,0.24100060341860288
bottle\test\broken_large\018.png,33.576834201812744,0.08596258786014237,0.3064079255015375
bottle\test\broken_large\019.png,32.72562623023987,0.009087389254560777,0.22833268305391896
bottle\test\broken_small\000.png,33.20850431919098,0.0006552049481077681,0.22016130016923924
bottle\test\broken_small\001.png,32.82891511917114,0.002046706901075833,0.20493515109782506
bottle\test\broken_small\002.png,32.67449140548706,0.004499407972635179,0.22776705826319743
bottle\test\broken_small\003.png,32.80538320541382,0.009192781604734647,0.25314578027897267
bottle\test\broken_small\004.png,32.89003670215607,0.015927130774235524,0.30651398525287044
bottle\test\broken_small\005.png,33.06514620780945,0.0063447848963169295,0.32109891104482646
bottle\test\broken_small\006.png,33.16424489021301,0.0012680378382490933,0.26879342453351207
